@relation creditos

@attribute nivelRenta {alto,medio,bajo}
@attribute patrimonio {alto,medio,bajo}
@attribute tamanoCredito REAL
@attribute edadPeticionario REAL
@attribute numeroHijos REAL
@attribute funcionario {si,no}
@attribute nivelEstudios {ninguno,licenciatura,posgrado}
@attribute autorizo {si,no}

@data
medio,medio,41000,57,2,si,licenciatura,no
bajo,bajo,48000,47,5,no,ninguno,no
bajo,bajo,34000,55,6,no,ninguno,no
medio,medio,34000,28,1,si,licenciatura,si
alto,medio,48000,53,0,si,licenciatura,si
alto,alto,86000,43,2,si,posgrado,si
alto,alto,80000,26,2,si,posgrado,si
alto,alto,98000,44,2,no,ninguno,no
medio,alto,79000,22,0,si,posgrado,no
medio,bajo,14000,32,0,si,licenciatura,si
bajo,bajo,34000,32,5,si,ninguno,si
bajo,bajo,41000,54,6,no,ninguno,no
medio,alto,81000,36,2,si,licenciatura,si
medio,alto,65000,23,2,si,licenciatura,si
bajo,bajo,39000,40,6,si,licenciatura,no
medio,medio,54000,57,1,no,licenciatura,no
medio,medio,70000,52,1,si,licenciatura,no
medio,medio,37000,36,1,no,posgrado,si
alto,medio,45000,58,0,si,posgrado,no
alto,alto,65000,42,0,si,licenciatura,si
bajo,bajo,2000,55,6,no,ninguno,si
medio,medio,59000,38,1,si,licenciatura,si
bajo,bajo,24000,58,6,no,ninguno,no
medio,medio,38000,28,0,si,licenciatura,si
bajo,bajo,21000,44,6,si,ninguno,no
alto,alto,64000,60,2,si,posgrado,si
bajo,bajo,43000,55,4,no,ninguno,no
bajo,bajo,41000,54,5,si,ninguno,no
bajo,bajo,35000,48,6,no,ninguno,no
alto,medio,70000,59,1,si,licenciatura,si
bajo,bajo,1000,46,6,si,ninguno,no
alto,medio,73000,53,0,si,posgrado,no
alto,alto,75000,28,1,no,posgrado,si
medio,medio,44000,30,2,si,posgrado,si
medio,alto,75000,24,0,si,posgrado,si
bajo,bajo,25000,40,4,si,ninguno,no
bajo,bajo,36000,40,5,si,ninguno,si
alto,medio,73000,35,2,si,posgrado,si
medio,medio,46000,38,1,no,ninguno,si
bajo,bajo,16000,25,6,no,ninguno,no
bajo,bajo,50000,28,6,si,licenciatura,no
